<DATE>;<BZ>
150923;94.21
170923;94.04
180923;94.57
190923;94.4
200923;93.2
210923;93.24
220923;93.63
240923;93.91
250923;93.41
260923;94.07
270923;96.71
280923;95.14
290923;92.29
11023;92.47
21023;90.48
31023;91.1
41023;86.09
51023;84.18
61023;84.47
81023;87.37
91023;88.25
101023;87.72
111023;85.54
121023;86.26
131023;90.94
151023;90.81
161023;90.16
171023;90.91
181023;91.41
191023;93.05
201023;92.19
221023;91.8
231023;90.5
241023;88.08
251023;90.13
261023;88.16
271023;90.02
291023;89.49
301023;87.91
311023;85.62
11123;84.9
21123;86.96
31123;85.17
51123;85.26
61123;85.21
71123;81.41
81123;79.71
91123;79.87
101123;81.55
121123;81.19
131123;82.7
141123;82.37
151123;81.07
161123;77.45
171123;80.52
191123;80.83
201123;82.03
211123;82.39
221123;81.66
231123;81.28
241123;80.23
261123;80.76
271123;80.08
281123;81.66
291123;82.9
301123;80.35
11223;79.07
31223;79.59
41223;78.2
51223;77
61223;74.28
71223;74.56
81223;75.8
101223;75.91
111223;76.11
121223;73.32
131223;74.62
141223;76.6
151223;76.64
171223;77.33
181223;78.04
191223;79.27
201223;79.15
211223;79.34
221223;79.19
241223;79.19
251223;79.19
261223;81.01
271223;79.34
281223;77.48
291223;77.08
311223;77.08
10124;77.08
20124;76.04
30124;78.44
40124;77.74
50124;78.75
70124;78.8
80124;76.27
90124;77.49
100124;76.78
110124;78.48
120124;78.45
140124;78.2
150124;78.64
160124;77.9
170124;78.11
180124;78.96
190124;78.85
210124;78.36
220124;79.89
230124;79.73
240124;80.23
250124;82.36
260124;83.58
280124;84.51
290124;82.46
300124;82.75
310124;80.69
10224;78.82
20224;77.24
40224;77.9
50224;77.93
60224;78.77
70224;79.43
80224;81.75
90224;81.93
110224;81.84
120224;82.08
130224;82.66
140224;81.44
150224;82.85
160224;83.37
180224;83.16
190224;83.35
200224;82.56
210224;83.16
220224;83.42
230224;81.71
250224;81.52
260224;82.58
270224;83.13
280224;83.4
290224;82.02
10324;83.49
30324;83.56
40324;82.84
50324;82.08
60324;82.91
70324;83.36
80324;81.94
100324;81.86
110324;82.45
120324;82.36
