<DATE>;<PL>
110923;901.4
120923;914.1
130923;903.1
140923;910.1
150923;930.7
170923;932.2
180923;940.1
190923;945
200923;928.7
210923;926.2
220923;933.2
240923;931.5
250923;915.7
260923;905.1
270923;897.3
280923;918.7
290923;915
11023;919
21023;884.8
31023;876
41023;872.2
51023;865.1
61023;884.7
81023;882
91023;894.2
101023;886.9
111023;894.5
121023;874.4
131023;887.7
151023;890.2
161023;897.6
171023;903.9
181023;892.9
191023;899.4
201023;903.6
221023;901.6
231023;902.5
241023;894.1
251023;909.2
261023;912.4
271023;912
291023;910.4
301023;940.7
311023;942
11123;934.9
21123;931.2
31123;941.3
51123;937.3
61123;914.3
71123;898.5
81123;874.8
91123;864.3
101123;845.6
121123;848.9
131123;869.6
141123;890.7
151123;901.3
161123;898.4
171123;903.5
191123;900.1
201123;926.1
211123;941
221123;931.7
231123;923.6
241123;939.5
261123;935.4
271123;928.4
281123;949.6
291123;938
301123;936.1
11223;940.8
31223;945.8
41223;924.3
51223;906.3
61223;894.8
71223;909.6
81223;921.8
101223;924.8
111223;916.5
121223;935.8
131223;943.1
141223;963.5
151223;947.9
171223;945.6
181223;953.9
191223;960.6
201223;966
211223;970.9
221223;978.4
241223;979.9
251223;978.7
261223;984.8
271223;1014.5
281223;1020.3
291223;1005.3
311223;1005.5
10124;1006.3
20124;996.6
30124;986.5
40124;967.3
50124;972.1
70124;971.2
80124;959.7
90124;943.6
100124;929.8
110124;928.6
120124;915.9
140124;917.6
150124;921.2
160124;906.1
170124;893.1
180124;919
190124;908.6
210124;908
220124;901.7
230124;908.5
240124;908.3
250124;898
260124;921.8
280124;918.8
290124;938.3
300124;930.6
310124;928.3
10224;922.7
20224;901.6
40224;904.2
50224;904.6
60224;911.7
70224;890.9
80224;895.4
90224;881.1
110224;881.6
120224;896.4
130224;879.3
140224;897.6
150224;905
160224;915.5
180224;913.2
190224;905.5
200224;912
210224;891.9
220224;907.4
230224;906.8
250224;904.3
260224;884.8
270224;894.6
280224;883.9
290224;883.6
10324;892.2
30324;889.8
40324;902
50324;886.9
60324;909.1
70324;924.1
80324;916.8
100324;920.6
110324;940.9
120324;926.1
