<DATE>;<AUDUSD>
110723;0.66923
120723;0.67916
130723;0.68881
140723;0.68371
160723;0.68372
170723;0.68091
180723;0.68128
190723;0.67702
200723;0.6778
210723;0.67283
230723;0.67245
240723;0.6731
250723;0.67871
260723;0.67602
270723;0.6711
280723;0.66445
300723;0.66591
310723;0.67151
10823;0.66172
20823;0.65412
30823;0.65597
40823;0.65663
60823;0.65734
70823;0.65713
80823;0.65323
90823;0.65347
100823;0.65116
110823;0.6498
130823;0.64945
140823;0.64877
150823;0.64571
160823;0.64133
170823;0.64058
180823;0.64026
200823;0.64134
210823;0.64122
220823;0.64239
230823;0.64805
240823;0.64118
250823;0.64014
270823;0.64156
280823;0.64271
290823;0.64757
300823;0.64792
310823;0.64858
10923;0.64496
30923;0.64514
40923;0.64569
50923;0.63743
60923;0.63809
70923;0.63769
80923;0.6376
100923;0.63965
110923;0.64287
120923;0.64278
130923;0.64206
140923;0.64303
150923;0.6428
170923;0.64389
180923;0.64385
190923;0.6464
200923;0.64357
210923;0.64088
220923;0.64376
240923;0.64405
250923;0.64216
260923;0.63931
270923;0.63479
280923;0.64262
290923;0.6434
11023;0.6437
21023;0.63616
31023;0.6308
41023;0.63277
51023;0.63686
61023;0.63818
81023;0.63683
91023;0.6421
101023;0.64317
111023;0.64174
121023;0.6315
131023;0.62943
151023;0.63112
161023;0.63366
171023;0.63627
181023;0.63321
191023;0.63241
201023;0.63092
221023;0.63198
231023;0.63356
241023;0.63599
251023;0.62934
261023;0.6333
271023;0.63307
291023;0.63384
301023;0.63676
311023;0.63366
11123;0.64216
21123;0.64273
31123;0.65072
51123;0.65154
61123;0.64879
71123;0.64298
81123;0.64067
91123;0.63607
101123;0.63583
121123;0.63641
131123;0.6379
141123;0.64974
151123;0.6511
161123;0.64683
171123;0.65131
191123;0.65104
201123;0.65593
211123;0.65573
221123;0.65419
231123;0.65595
241123;0.6582
261123;0.65808
271123;0.66126
281123;0.66556
291123;0.66168
301123;0.66063
11223;0.66717
31223;0.66816
41223;0.66163
51223;0.65538
61223;0.6551
71223;0.65937
81223;0.6577
101223;0.65789
111223;0.65643
121223;0.6564
131223;0.66647
141223;0.67013
151223;0.67001
171223;0.66982
181223;0.67031
191223;0.67577
201223;0.67393
211223;0.67961
221223;0.6799
241223;0.6786
251223;0.68033
261223;0.68232
271223;0.68519
281223;0.68252
291223;0.681
311223;0.681
10124;0.68088
20124;0.67661
30124;0.67346
40124;0.67057
50124;0.67129
70124;0.67155
80124;0.67163
90124;0.66836
100124;0.67017
110124;0.66986
120124;0.6685
140124;0.66887
150124;0.66499
160124;0.65882
170124;0.65518
180124;0.65816
190124;0.6597
210124;0.65948
220124;0.65699
230124;0.65858
240124;0.65755
250124;0.65819
260124;0.6574
280124;0.65771
290124;0.66134
300124;0.65947
310124;0.65625
10224;0.65743
20224;0.6512
40224;0.65043
50224;0.64801
60224;0.65278
70224;0.65195
80224;0.6498
90224;0.6523
110224;0.65245
120224;0.65287
130224;0.64529
140224;0.64985
150224;0.65251
160224;0.6531
180224;0.65364
190224;0.65305
200224;0.65528
210224;0.65536
220224;0.65578
230224;0.656
250224;0.65634
260224;0.65382
270224;0.65433
280224;0.64942
290224;0.64994
10324;0.65221
30324;0.65272
40324;0.65066
50324;0.65033
60324;0.65656
70324;0.66212
80324;0.66218
100324;0.66238
110324;0.66142
120324;0.66072
