<DATE>;<SPX>
251023;4186.77
261023;4137.23
271023;4117.37
301023;4166.82
311023;4193.8
11123;4237.86
21123;4317.78
31123;4358.34
61123;4365.98
71123;4378.38
81123;4382.78
91123;4347.35
101123;4415.24
131123;4411.55
141123;4495.7
151123;4502.88
161123;4508.24
171123;4514.02
201123;4547.38
211123;4538.19
221123;4556.62
241123;4559.34
271123;4550.43
281123;4554.89
291123;4550.58
301123;4567.8
11223;4594.63
41223;4569.78
51223;4567.18
61223;4549.34
71223;4585.59
81223;4604.37
111223;4622.44
121223;4643.7
131223;4707.09
141223;4719.55
151223;4719.19
181223;4740.56
191223;4768.37
201223;4698.35
211223;4746.75
221223;4754.63
261223;4774.75
271223;4781.58
281223;4783.35
291223;4769.83
20124;4742.83
30124;4704.81
40124;4688.68
50124;4697.24
80124;4763.54
90124;4756.5
100124;4783.45
110124;4780.24
120124;4783.83
160124;4765.98
170124;4739.21
180124;4780.94
190124;4839.81
220124;4850.43
230124;4864.6
240124;4868.55
250124;4894.16
260124;4890.97
290124;4927.93
300124;4924.97
310124;4845.65
10224;4906.19
20224;4958.61
50224;4942.81
60224;4954.23
70224;4995.06
80224;4997.91
90224;5026.61
120224;5021.84
130224;4953.17
140224;5000.62
150224;5029.73
160224;5005.57
200224;4975.51
210224;4981.8
220224;5087.03
230224;5088.8
260224;5069.53
270224;5078.18
280224;5069.76
290224;5096.27
10324;5137.08
40324;5130.95
50324;5078.65
60324;5104.76
70324;5157.36
80324;5123.69
110324;5117.94
120324;5175.27
